Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Heidelberger Druckmaschinen AG;https://www.heidelberg.com/global/de/index.jsp;A;89;Starker Fit;kein Ausschlusskriterium;9 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress. Auf der Website 219 Fundstellen zu Kernbegriffen: Digitaldruck (65), Offsetdruck (61), Druckmaschine (49), Flexodruck (21).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;69115 Heidelberg (Werk Wiesloch/Walldorf);Deutschland;Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress;9.309 (Recherche);2.280 (Recherche);;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Wikipedia: weltweit fuehrender Hersteller von Bogenoffset-Druckmaschinen einschliesslich umfangreicher Loesungen fuer die Printmedienindustrie.;https://www.linkedin.com/company/heidelberg;A;Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress. Auf der Website 219 Fundstellen zu Kernbegriffen: Digitaldruck (65), Offsetdruck (61), Druckmaschine (49), Flexodruck (21).;A;Sitz 69115 Heidelberg (Werk Wiesloch/Walldorf), Deutschland, in der Zielregion Heidelberg.;A;9.309 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Heidelberger_Druckmaschinen (Stand 31.03.2025)), im ICP-Band 1.001 bis 10.000.;A;2,3 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Heidelberger_Druckmaschinen (GJ 2024/25)), im ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Toleranz (1), Maßhaltigkeit (1).;A;4 Begriffe mit 42 Fundstellen auf 10 Seiten: Anleger (20), Rotation (20), Druckwerk (1), Register (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 143 Fundstellen auf 10 Seiten: Ersatzteil (81), Wartung (21), Serviceteil (20), maintenance (20).;C;Schwacher Beleg, nur Großserie (1) auf 10 Seiten.;A;4 Begriffe mit 8 Fundstellen auf 10 Seiten: Entwicklung (4), Innovation (2), Forschung und Entwicklung (1), F&E (1).;A;6 Begriffe mit 170 Fundstellen auf 10 Seiten: Lieferant (84), Einkauf (41), Lieferantenportal (20), Procurement (20).;A;3 Begriffe mit 50 Fundstellen auf 10 Seiten: zertifiziert (27), Zertifizierung (20), ISO 9001 (3).
Koenig & Bauer AG;https://www.koenig-bauer.com/de/;A;87;Starker Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen. Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;97080 Würzburg;Deutschland;Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen;5.526 (Recherche);1.302 (Recherche);;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";"Wikipedia-Infobox Branche Druckmaschinen; fuehrende Marktpositionen im Bogenoffset Grossformat, Verpackungs-, Zeitungs- und Blechdruck, rund 80 Prozent Weltmarktanteil Banknotendruckmaschinen.";https://www.linkedin.com/company/23394;A;Kernprodukt laut Recherche: Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen. Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;B;Sitz 97080 Würzburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;5.526 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Koenig_%26_Bauer (Stand 31.12.2025)), im ICP-Band 1.001 bis 10.000.;A;1,3 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Koenig_%26_Bauer (GJ 2025)), im ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: präzise (4), Präzision (1).;A;3 Begriffe mit 34 Fundstellen auf 10 Seiten: Bogen (30), Register (3), Rotation (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 50 Fundstellen auf 10 Seiten: Wartung (29), Retrofit (11), Ersatzteil (5), Verfügbarkeit (5).;B;2 Begriffe mit 2 Fundstellen: Hochleistung (1), high-speed (1).;A;2 Begriffe mit 11 Fundstellen auf 10 Seiten: Entwicklung (7), Innovation (4).;A;3 Begriffe mit 26 Fundstellen auf 10 Seiten: Einkauf (19), Lieferant (6), Einkaufsbedingungen (1).;B;1 Begriffe mit 1 Fundstellen: Zertifizierung (1).
Windmöller & Hölscher SE & Co. KG;https://www.wh.group/int/en/;A;85;Starker Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D, 3 ohne Datenbasis. Kernprodukt laut Recherche: Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckmaschine (4), Druckwerk (4), Flexodruck (2), Tiefdruck (2).;Hoch, recherchiert, 80 Prozent der Kriterien belegt;49525 Lengerich;Deutschland;Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen;3.400 (Recherche);969 (Recherche);Familienbesitz;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Wikipedia: Maschinen fuer flexible Verpackung in drei Sparten, darunter Druckmaschinen (Flexo- und Tiefdruck).;https://www.linkedin.com/company/windmoeller-&-hoelscher-group;A;Kernprodukt laut Recherche: Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckmaschine (4), Druckwerk (4), Flexodruck (2), Tiefdruck (2).;B;Sitz 49525 Lengerich, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;3.400 Mitarbeiter (Recherche, Gruppe: https://www.wh.group/de/unternehmen/w_h_group/ (2026: Rund 3.400 Mitarbeiter)), im ICP-Band 1.001 bis 10.000.;B;969 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Windm%C3%B6ller_%26_H%C3%B6lscher (GJ 2021)), knapp unter dem ICP-Band rund 2 Mrd. EUR.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;B;2 Begriffe mit 6 Fundstellen: Druckwerk (4), printing unit (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;2 Begriffe mit 14 Fundstellen auf 2 Seiten: Retrofit (10), maintenance (4).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Entwicklung (3) auf 2 Seiten.;A;4 Begriffe mit 12 Fundstellen auf 2 Seiten: Supplier (5), Einkauf (3), Lieferant (2), Purchasing (2).;A;2 Begriffe mit 4 Fundstellen auf 2 Seiten: zertifiziert (2), certified (2).
