Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch bei Kernbauteilen;B1 Begründung;B2 Eigene Fertigung von Kernbauteilen;B2 Begründung;B3 Elektrische Antriebe und Kugelgewindetriebe in den Maschinen;B3 Begründung;B4 Produktivität, Rüst- und Nebenzeiten;B4 Begründung;B5 Energieeffizienz;B5 Begründung;B6 Qualität und Ausschussreduktion;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Entwicklung und Konstruktion im Haus;B8 Begründung
KraussMaffei Technologies GmbH;https://www.kraussmaffei.com/de;A;98;Starker Fit;kein Ausschlusskriterium;11 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Extrusionsanlagen, Reaktionstechnik, Automation. Auf der Website 107 Fundstellen zu Kernbegriffen: Spritzgießtechnik (74), Spritzgießmaschine (24), Spritzgießen (3), Spritzeinheit (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;85599 Parsdorf;Deutschland;Spritzgießmaschinen, Extrusionsanlagen, Reaktionstechnik, Automation;4.200 (Recherche);1.370 (Recherche);"KraussMaffei Group GmbH, Parsdorf; darüber KraussMaffei Company Ltd. (Shanghai), ChemChina/Sinochem";VDMA-Mitgliederliste, Startliste;Die Unternehmensseite nennt als Spritzgießtechnik vollelektrische und hydraulische Spritzgießmaschinen der Baureihen PX, CX, GX und MX samt Automation (https://www.kraussmaffei.com/de/unternehmen).;https://www.linkedin.com/company/krauss-maffei;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Extrusionsanlagen, Reaktionstechnik, Automation. Auf der Website 107 Fundstellen zu Kernbegriffen: Spritzgießtechnik (74), Spritzgießmaschine (24), Spritzgießen (3), Spritzeinheit (2).;B;Sitz 85599 Parsdorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;A;4.200 Mitarbeiter (Recherche, Gruppe: https://www.kraussmaffei.com/de/unternehmen (Stand 2026, Gruppe weltweit)), im ICP-Band 1.001 bis 10.000.;A;1,4 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Krauss-Maffei (Geschäftsjahr 2017, Gruppe)), im ICP-Band rund 1,6 Mrd. EUR.;A;4 Begriffe mit 7 Fundstellen auf 10 Seiten: Präzision (3), präzise (2), Toleranz (1), Wiederholgenauigkeit (1).;A;3 Begriffe mit 12 Fundstellen auf 10 Seiten: Fräsen (10), Zerspanung (1), Montage (1).;A;5 Begriffe mit 51 Fundstellen auf 10 Seiten: vollelektrisch (37), hybrid (11), Servoantrieb (1), Antriebstechnik (1).;A;3 Begriffe mit 5 Fundstellen auf 10 Seiten: Produktivität (2), Zykluszeit (2), Trockenlaufzeit (1).;A;4 Begriffe mit 9 Fundstellen auf 10 Seiten: Energieeffizien (4), energieeffizient (2), Nachhaltigkeit (2), Energieeinsparung (1).;A;2 Begriffe mit 4 Fundstellen auf 10 Seiten: prozesssicher (2), Prozesssicherheit (2).;A;5 Begriffe mit 42 Fundstellen auf 10 Seiten: Einkauf (26), Lieferant (12), Code of Conduct (2), Beschaffung (1).;A;4 Begriffe mit 11 Fundstellen auf 10 Seiten: Entwicklung (6), Innovation (3), Konstruktion (1), Patent (1).
ARBURG GmbH + Co KG;https://www.arburg.com/de/;A;88;Starker Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Kunststoffspritzgießmaschinen, Robot-Systeme, additive Fertigung (Freeformer). Auf der Website 124 Fundstellen zu Kernbegriffen: Spritzgießen (65), Spritzgießmaschine (34), Silikon (14), Spritzguss (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;72290 Loßburg;Deutschland;Kunststoffspritzgießmaschinen, Robot-Systeme, additive Fertigung (Freeformer);3.148 (Recherche);878 (Recherche);Familien Hehl und Keinath (Hehl International GmbH + Co. KG);VDMA-Mitgliederliste, KunststoffWeb, Startliste;Wikipedia beschreibt Arburg als Maschinenbauunternehmen mit Spezialisierung auf Kunststoffspritzgießmaschinen samt modularen Robot-Systemen und Maschinenperipherie (https://de.wikipedia.org/wiki/Arburg_(Unternehmen)).;https://www.linkedin.com/company/arburg-gmbh-co-kg;A;Kernprodukt laut Recherche: Kunststoffspritzgießmaschinen, Robot-Systeme, additive Fertigung (Freeformer). Auf der Website 124 Fundstellen zu Kernbegriffen: Spritzgießen (65), Spritzgießmaschine (34), Silikon (14), Spritzguss (3).;B;Sitz 72290 Loßburg, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;A;3.148 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Arburg_(Unternehmen) (Stand 31.12.2022)), im ICP-Band 1.001 bis 10.000.;A;878 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Arburg_(Unternehmen) (Geschäftsjahr 2022, Gruppe)), im ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 3 Fundstellen: präzise (2), Reproduzierbarkeit (1).;C;Schwacher Beleg, nur Eigenfertigung (2) auf 10 Seiten.;A;1 Begriffe mit 12 Fundstellen auf 10 Seiten: hybrid (12).;A;3 Begriffe mit 31 Fundstellen auf 10 Seiten: Produktivität (11), Zykluszeit (10), Maschinenverfügbarkeit (10).;A;1 Begriffe mit 31 Fundstellen auf 10 Seiten: Nachhaltigkeit (31).;A;6 Begriffe mit 32 Fundstellen auf 10 Seiten: Teilequalität (10), Prozessstabilität (10), zertifiziert (5), Qualitätsmanagement (4).;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;B;2 Begriffe mit 4 Fundstellen: Entwicklung (2), Innovation (2).
KraussMaffei (Schweiz) AG;https://www.kraussmaffei.com/de;A;84;Starker Fit;kein Ausschlusskriterium;9 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Schweiz. Auf der Website 107 Fundstellen zu Kernbegriffen: Spritzgießtechnik (74), Spritzgießmaschine (24), Spritzgießen (3), Spritzeinheit (2).;Mittel, nur Website, 100 Prozent der Kriterien belegt;6343 Rotkreuz;Schweiz;Spritzgießmaschinen, Vertrieb und Service Schweiz;4.200 (Website);840 (abgeleitet);KraussMaffei Group GmbH (Sinochem, China);Websuche, swissplastics.ch Firmenverzeichnis;Die KraussMaffei (Schweiz) AG tritt im Schweizer Kunststoffverbands-Verzeichnis als Anbieter der KraussMaffei Spritzgießmaschinen auf, unter anderem der neuen vollelektrischen PX-Baureihe (https://www.swissplastics.ch/de/p/kraussmaffei-schweiz-ag.10595).;https://www.linkedin.com/company/krauss-maffei;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Schweiz. Auf der Website 107 Fundstellen zu Kernbegriffen: Spritzgießtechnik (74), Spritzgießmaschine (24), Spritzgießen (3), Spritzeinheit (2).;B;Sitz 6343 Rotkreuz, Schweiz, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;4.200 Mitarbeiter stehen auf der Website, die Zahl gehört aber zur Gruppe (KraussMaffei Group GmbH (Sinochem, China)). Zahl der Einzelgesellschaft unbelegt, in der Nachprüfung zu klären.;B;840 Mio. EUR (aus 4.200 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), im ICP-Band, Wert nur abgeleitet rund 1,6 Mrd. EUR.;A;4 Begriffe mit 7 Fundstellen auf 10 Seiten: Präzision (3), präzise (2), Toleranz (1), Wiederholgenauigkeit (1).;A;3 Begriffe mit 12 Fundstellen auf 10 Seiten: Fräsen (10), Zerspanung (1), Montage (1).;A;5 Begriffe mit 51 Fundstellen auf 10 Seiten: vollelektrisch (37), hybrid (11), Servoantrieb (1), Antriebstechnik (1).;A;3 Begriffe mit 5 Fundstellen auf 10 Seiten: Produktivität (2), Zykluszeit (2), Trockenlaufzeit (1).;A;4 Begriffe mit 9 Fundstellen auf 10 Seiten: Energieeffizien (4), energieeffizient (2), Nachhaltigkeit (2), Energieeinsparung (1).;A;2 Begriffe mit 4 Fundstellen auf 10 Seiten: prozesssicher (2), Prozesssicherheit (2).;A;5 Begriffe mit 42 Fundstellen auf 10 Seiten: Einkauf (26), Lieferant (12), Code of Conduct (2), Beschaffung (1).;A;4 Begriffe mit 11 Fundstellen auf 10 Seiten: Entwicklung (6), Innovation (3), Konstruktion (1), Patent (1).
BILLION KUNSTSTOFFTECHNIK GmbH;https://www.billion.fr/de/;A;80;Starker Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Vertrieb und Service von Billion Spritzgiessmaschinen. Auf der Website 37 Fundstellen zu Kernbegriffen: Spritzgießmaschine (16), Spritzguss (15), Spritzgiessmaschine (3), Spritzgießen (2).;Mittel, nur Website, 74 Prozent der Kriterien belegt;83139 Soechtenau;Deutschland;Vertrieb und Service von Billion Spritzgiessmaschinen;k. A.;k. A.;BILLION SAS (Bellignat, Frankreich);technik-einkauf, Websuche, Startliste;Die deutsche Website tritt unter dem Titel Billion, Hersteller von Spritzgiessmaschinen auf und fuehrt die Baureihen SELECT, HERCULE, GM und Vulcan mit 400 bis 26500 kN Schliesskraft (http://www.billion-kunststofftechnik.de/, plasticker Anbieterprofil https://plasticker.de/Anbieterprofil_721_BILLION_KUNSTSTOFFTECHNIK_GmbH);https://www.linkedin.com/company/billion-injection-molding-machinery;A;Kernprodukt laut Recherche: Vertrieb und Service von Billion Spritzgiessmaschinen. Auf der Website 37 Fundstellen zu Kernbegriffen: Spritzgießmaschine (16), Spritzguss (15), Spritzgiessmaschine (3), Spritzgießen (2).;B;Sitz 83139 Soechtenau, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 4 Fundstellen: Präzision (2), präzise (2).;C;Schwacher Beleg, nur Bearbeitungszentr (1) auf 8 Seiten.;A;4 Begriffe mit 13 Fundstellen auf 8 Seiten: vollelektrisch (8), Spindel (3), elektrische Spritzgieß (1), Servomotor (1).;C;Schwacher Beleg, nur Produktivität (4) auf 8 Seiten.;B;2 Begriffe mit 2 Fundstellen: Energieeinsparung (1), energiesparend (1).;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: ISO 9001 (2), zertifiziert (2), Ausschuss (1).;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: Einkauf (1), Lieferant (1).;A;4 Begriffe mit 36 Fundstellen auf 8 Seiten: Innovation (16), Technikum (16), Entwicklung (3), Patent (1).
BMB Germany GmbH;https://www.bmb-spa.com/;A;80;Starker Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Vertrieb und Service von BMB Spritzgiessmaschinen. Auf der Website 2 Fundstellen zu Kernbegriffen: injection moulding machine (1), injection moulding (1).;Mittel, nur Website, 74 Prozent der Kriterien belegt;53113 Bonn;Deutschland;Vertrieb und Service von BMB Spritzgiessmaschinen;k. A.;k. A.;BMB S.p.A. (Brescia, Italien);Websuche, Startliste (BMB Deutschland);"Unternehmensgegenstand laut Register: Vertrieb, Ankauf, Service und Reparatur von Spritzgiessmaschinen (https://www.northdata.de/BMB+Germany+GmbH,+Bonn/HRB+25895); Produktprogramm des Herstellers: vollelektrische und hybride Spritzgiessmaschinen eKW, eMC, KW, KX (https://www.bmb-spa.com/en/company/)";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Vertrieb und Service von BMB Spritzgiessmaschinen. Auf der Website 2 Fundstellen zu Kernbegriffen: injection moulding machine (1), injection moulding (1).;B;Sitz 53113 Bonn, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;3 Begriffe mit 6 Fundstellen auf 6 Seiten: precision (3), accuracy (2), repeatab (1).;B;2 Begriffe mit 3 Fundstellen: CNC (2), machining (1).;A;2 Begriffe mit 20 Fundstellen auf 6 Seiten: hybrid (14), toggle (6).;B;2 Begriffe mit 2 Fundstellen: productivity (1), cycle time (1).;B;2 Begriffe mit 2 Fundstellen: energy efficien (1), energy consumption (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 9 Fundstellen: Supplier (9).;A;3 Begriffe mit 6 Fundstellen auf 6 Seiten: Innovation (4), R&D (1), engineering (1).
